trait_type,phenocode,pheno_sex,description,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed
icd10,Z13,both_sexes,Z13 Special screening examination for other diseases and disorders,BIN,11721,408810.0,420531,22788.626807536188,icd10-Z13-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z13-both_sexes.tsv.bgz,0.0051
icd10,Z22,both_sexes,Z22 Carrier of infectious disease,BIN,1472,419059.0,420531,2933.6950094047766,icd10-Z22-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z22-both_sexes.tsv.bgz,0.0042
icd10,Z30,both_sexes,Z30 Contraceptive management,BIN,9253,411278.0,420531,18098.809999738427,icd10-Z30-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z30-both_sexes.tsv.bgz,-0.0018
icd10,Z34,both_sexes,Z34 Supervision of normal pregnancy,BIN,1081,419450.0,420531,2156.4424501404173,icd10-Z34-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z34-both_sexes.tsv.bgz,
icd10,Z35,both_sexes,Z35 Supervision of high-risk pregnancy,BIN,1059,419472.0,420531,2112.6663575336893,icd10-Z35-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z35-both_sexes.tsv.bgz,0.0029
icd10,Z36,both_sexes,Z36 Antenatal screening,BIN,1293,419238.0,420531,2578.048866789844,icd10-Z36-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z36-both_sexes.tsv.bgz,-0.0015
icd10,Z42,both_sexes,Z42 Follow-up care involving plastic surgery,BIN,2819,417712.0,420531,5600.206063286655,icd10-Z42-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z42-both_sexes.tsv.bgz,0.0011
icd10,Z43,both_sexes,Z43 Attention to artificial openings,BIN,2155,418376.0,420531,4287.913518860679,icd10-Z43-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z43-both_sexes.tsv.bgz,0.0031
icd10,Z45,both_sexes,Z45 Adjustment and management of implanted device,BIN,4033,416498.0,420531,7988.6449940670245,icd10-Z45-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z45-both_sexes.tsv.bgz,0.0033
icd10,Z46,both_sexes,Z46 Fitting and adjustment of other devices,BIN,6086,414445.0,420531,11995.844634521593,icd10-Z46-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z46-both_sexes.tsv.bgz,0.0057
icd10,Z47,both_sexes,Z47 Other orthopaedic follow-up care,BIN,3803,416728.0,420531,7537.216443020847,icd10-Z47-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z47-both_sexes.tsv.bgz,0.005
icd10,Z48,both_sexes,Z48 Other surgical follow-up care,BIN,1710,418821.0,420531,3406.093296332494,icd10-Z48-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z48-both_sexes.tsv.bgz,0.0029
icd10,Z50,both_sexes,Z50 Care involving use of rehabilitation procedures,BIN,5205,415326.0,420531,10281.153256240324,icd10-Z50-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z50-both_sexes.tsv.bgz,0.0002
icd10,Z51,both_sexes,Z51 Other medical care,BIN,28828,391703.0,420531,53703.59894514317,icd10-Z51-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z51-both_sexes.tsv.bgz,0.0077
icd10,Z53,both_sexes,"Z53 Persons encountering health services for specifie procedures, not carried out",BIN,30414,390117.0,420531,56428.74574288222,icd10-Z53-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z53-both_sexes.tsv.bgz,0.0076
icd10,Z60,both_sexes,Z60 Problems related to social environment,BIN,4052,416479.0,420531,8025.91441772426,icd10-Z60-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z60-both_sexes.tsv.bgz,0.0046
icd10,Z71,both_sexes,"Z71 Persons encountering health services for other counselling and medical advice, not elsewhere classified",BIN,1570,418961.0,420531,3128.2772019185268,icd10-Z71-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z71-both_sexes.tsv.bgz,0.0006
icd10,Z72,both_sexes,Z72 Problems related to lifestyle,BIN,21081,399450.0,420531,40048.44089971964,icd10-Z72-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z72-both_sexes.tsv.bgz,0.0146
icd10,Z75,both_sexes,Z75 Problems related to medical facilities and other health care,BIN,1075,419456.0,420531,2144.5039723587556,icd10-Z75-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z75-both_sexes.tsv.bgz,-0.0006
icd10,Z80,both_sexes,Z80 Family history of malignant neoplasm,BIN,12504,408027.0,420531,24264.41621664039,icd10-Z80-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z80-both_sexes.tsv.bgz,0.0066
icd10,Z82,both_sexes,Z82 Family history of certain disabilities and chronic diseases leading to disablement,BIN,16431,404100.0,420531,31578.014938256634,icd10-Z82-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z82-both_sexes.tsv.bgz,0.0106
icd10,Z83,both_sexes,Z83 Family history of other specific disorders,BIN,2933,417598.0,420531,5825.087491766362,icd10-Z83-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z83-both_sexes.tsv.bgz,0.0007
icd10,Z85,both_sexes,Z85 Personal history of malignant neoplasm,BIN,30310,390221.0,420531,56250.780608326146,icd10-Z85-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z85-both_sexes.tsv.bgz,0.0074
